epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,1630.22,0.84078,0.42016,0.22408,0.48929,1.20185,0.99478,0.99115,0.995,0.84387,0.99478,0.99115,0.995,0.96353,0.64839,0.39227,0.10857,0.37565,1.03085,0.0012872,0.0012872,0.0012872
74,1653.5,0.84231,0.40322,0.22196,0.48729,1.22194,1,0.97989,0.99403,0.77886,0.9986,0.99115,0.995,0.97934,0.84483,0.29468,0.11067,0.39221,1.05148,0.0012773,0.0012773,0.0012773
75,1676.38,0.87328,0.45756,0.22783,0.50811,1.22996,1,0.98152,0.99482,0.83348,1,0.99958,0.995,0.97651,0.66776,0.27953,0.15735,0.34473,0.99354,0.0012674,0.0012674,0.0012674
76,1699.42,0.89812,0.43557,0.23946,0.51503,1.24283,0.99122,0.99953,0.995,0.85553,0.99122,0.99953,0.995,0.97064,0.63437,0.36224,0.1469,0.35362,1.02655,0.0012575,0.0012575,0.0012575
77,1722.49,0.88322,0.40977,0.22543,0.50813,1.24978,1,0.98064,0.99482,0.76711,0.99942,1,0.995,0.97657,0.88583,0.30647,0.07825,0.38615,1.07999,0.0012476,0.0012476,0.0012476
78,1744.64,0.83029,0.41422,0.22472,0.49703,1.19017,1,0.9802,0.99482,0.89055,0.99967,1,0.995,0.97533,0.50871,0.28998,0.10364,0.3135,0.94744,0.0012377,0.0012377,0.0012377
79,1767.08,0.87294,0.4252,0.19933,0.4843,1.22602,1,0.98069,0.99433,0.86369,1,0.99893,0.995,0.96665,0.56229,0.31264,0.12561,0.3299,0.9604,0.0012278,0.0012278,0.0012278
80,1789.51,0.85232,0.38645,0.20659,0.49048,1.21314,0.99871,0.97345,0.99465,0.8517,1,0.99969,0.995,0.98298,0.60373,0.2789,0.12369,0.32226,0.95626,0.0012179,0.0012179,0.0012179
81,1811.87,0.81746,0.41183,0.21014,0.47156,1.19558,1,0.98407,0.995,0.85315,0.9962,1,0.995,0.97379,0.64324,0.34738,0.14695,0.33907,0.98096,0.001208,0.001208,0.001208
82,1834.55,0.85547,0.43852,0.21164,0.48388,1.22692,0.98863,0.9823,0.99274,0.79603,0.99986,1,0.995,0.98348,0.72624,0.27845,0.10657,0.37077,0.99115,0.0011981,0.0011981,0.0011981
83,1857.43,0.8325,0.43093,0.20374,0.49272,1.19824,0.98962,0.9823,0.99457,0.87614,0.99951,1,0.995,0.9769,0.53585,0.3001,0.12421,0.32696,0.9444,0.0011882,0.0011882,0.0011882
84,1880.05,0.80118,0.37986,0.20112,0.46344,1.17803,0.98859,0.9823,0.99417,0.80803,0.9975,0.99115,0.995,0.98466,0.74083,0.28189,0.0927,0.34925,1.00772,0.0011783,0.0011783,0.0011783
85,1902.66,0.78765,0.35399,0.20993,0.45396,1.1684,1,0.99753,0.995,0.84265,1,0.99753,0.995,0.9882,0.6325,0.23163,0.09348,0.33274,0.97151,0.0011684,0.0011684,0.0011684
86,1924.87,0.83798,0.33225,0.19775,0.45953,1.20815,0.98246,0.99112,0.99474,0.86214,0.99807,1,0.995,0.97359,0.63213,0.28528,0.09042,0.3267,0.95672,0.0011585,0.0011585,0.0011585
87,1948.05,0.79888,0.37277,0.20296,0.45601,1.19064,1,0.98408,0.995,0.86995,0.99683,1,0.995,0.98005,0.61352,0.29937,0.09125,0.34206,1.01492,0.0011486,0.0011486,0.0011486
88,1971.92,0.77473,0.37785,0.2039,0.45644,1.17308,1,0.99732,0.995,0.83492,1,0.99732,0.995,0.98082,0.64335,0.29498,0.09214,0.31407,0.96795,0.0011387,0.0011387,0.0011387
89,1995.67,0.8185,0.34774,0.19913,0.46848,1.19412,0.99687,0.99115,0.995,0.8729,0.99687,0.99115,0.995,0.97991,0.58633,0.27186,0.08944,0.31302,0.94744,0.0011288,0.0011288,0.0011288
90,2019.08,0.80221,0.37928,0.18788,0.46474,1.19358,0.99993,0.99115,0.995,0.85882,0.99993,0.99115,0.995,0.96721,0.62331,0.3141,0.09008,0.37565,1.00616,0.0011189,0.0011189,0.0011189
91,2042.5,0.78478,0.36605,0.19162,0.44969,1.18246,0.99729,0.99115,0.995,0.83923,1,0.99876,0.995,0.98887,0.67364,0.21697,0.05694,0.33156,0.98827,0.001109,0.001109,0.001109
92,2065.27,0.76977,0.3604,0.18315,0.44455,1.16335,0.99812,0.97345,0.9944,0.87293,0.99939,1,0.995,0.98742,0.55125,0.23435,0.0757,0.31958,0.94276,0.0010991,0.0010991,0.0010991
93,2088.73,0.75568,0.32445,0.18299,0.44115,1.15993,1,0.99941,0.995,0.8953,1,0.99941,0.995,0.98372,0.50038,0.23407,0.08657,0.3001,0.90662,0.0010892,0.0010892,0.0010892
94,2112.93,0.78616,0.37848,0.19905,0.47547,1.16875,0.99679,0.99115,0.995,0.87726,1,0.99822,0.995,0.9874,0.53558,0.21343,0.11245,0.29522,0.92837,0.0010793,0.0010793,0.0010793
95,2135.74,0.7387,0.36577,0.18074,0.42964,1.14616,0.99957,0.99115,0.995,0.88398,0.99957,0.99115,0.995,0.98424,0.52624,0.23289,0.08647,0.28314,0.89173,0.0010694,0.0010694,0.0010694
96,2158.36,0.74908,0.30794,0.18188,0.43454,1.1348,1,0.98077,0.99466,0.90158,0.99659,0.99115,0.995,0.98739,0.45108,0.23079,0.07178,0.26499,0.87461,0.0010595,0.0010595,0.0010595
97,2181.69,0.76614,0.31546,0.179,0.44312,1.14647,1,0.9998,0.995,0.88906,1,0.9998,0.995,0.95411,0.53141,0.31483,0.06894,0.29394,0.90867,0.0010496,0.0010496,0.0010496
98,2205.06,0.77498,0.31272,0.18109,0.44627,1.16762,1,0.98079,0.99466,0.88011,0.99866,0.99115,0.995,0.98853,0.50855,0.26656,0.08288,0.28501,0.89499,0.0010397,0.0010397,0.0010397
99,2227.66,0.78138,0.36811,0.17959,0.44772,1.16464,0.99788,0.99115,0.995,0.87134,1,0.99879,0.995,0.97572,0.56496,0.26618,0.07532,0.31135,0.95147,0.0010298,0.0010298,0.0010298
